"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","1.1727","1.1690","1.1736","1.1688","","0.32%"
"08/31/2025","1.1690","1.1699","1.1699","1.1687","","0.03%"
"08/29/2025","1.1686","1.1683","1.1710","1.1651","","0.03%"
"08/28/2025","1.1683","1.1639","1.1698","1.1629","","0.38%"
"08/27/2025","1.1639","1.1643","1.1649","1.1574","","-0.03%"
"08/26/2025","1.1643","1.1620","1.1667","1.1601","","0.22%"
"08/25/2025","1.1618","1.1717","1.1729","1.1602","","-0.77%"
"08/24/2025","1.1708","1.1723","1.1730","1.1708","","-0.08%"
"08/22/2025","1.1717","1.1606","1.1744","1.1583","","0.96%"
"08/21/2025","1.1606","1.1653","1.1664","1.1600","","-0.39%"
"08/20/2025","1.1652","1.1650","1.1674","1.1622","","0.04%"
"08/19/2025","1.1647","1.1660","1.1693","1.1639","","-0.12%"
"08/18/2025","1.1661","1.1694","1.1719","1.1656","","-0.32%"
"08/15/2025","1.1698","1.1649","1.1715","1.1646","","0.43%"
"08/14/2025","1.1648","1.1706","1.1716","1.1631","","-0.50%"
"08/13/2025","1.1706","1.1675","1.1731","1.1668","","0.28%"
"08/12/2025","1.1673","1.1616","1.1698","1.1598","","0.49%"
"08/11/2025","1.1616","1.1642","1.1677","1.1590","","-0.21%"
"08/08/2025","1.1640","1.1666","1.1680","1.1629","","-0.22%"
"08/07/2025","1.1666","1.1660","1.1700","1.1611","","0.05%"
"08/06/2025","1.1660","1.1573","1.1669","1.1564","","0.73%"
"08/05/2025","1.1576","1.1571","1.1589","1.1527","","0.04%"
"08/04/2025","1.1571","1.1578","1.1597","1.1549","","-0.13%"
"08/01/2025","1.1586","1.1415","1.1597","1.1391","","1.49%"
