"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","1.3526","1.3503","1.3540","1.3502","","0.16%"
"08/31/2025","1.3504","1.3496","1.3511","1.3496","","-0.01%"
"08/29/2025","1.3505","1.3512","1.3519","1.3445","","-0.06%"
"08/28/2025","1.3513","1.3498","1.3532","1.3482","","0.11%"
"08/27/2025","1.3498","1.3483","1.3503","1.3415","","0.13%"
"08/26/2025","1.3481","1.3455","1.3495","1.3433","","0.19%"
"08/25/2025","1.3455","1.3525","1.3531","1.3445","","-0.39%"
"08/24/2025","1.3508","1.3518","1.3532","1.3508","","-0.14%"
"08/22/2025","1.3527","1.3411","1.3546","1.3389","","0.86%"
"08/21/2025","1.3411","1.3463","1.3484","1.3405","","-0.35%"
"08/20/2025","1.3458","1.3486","1.3511","1.3446","","-0.24%"
"08/19/2025","1.3491","1.3504","1.3533","1.3476","","-0.09%"
"08/18/2025","1.3503","1.3552","1.3571","1.3501","","-0.36%"
"08/15/2025","1.3552","1.3533","1.3577","1.3524","","0.14%"
"08/14/2025","1.3533","1.3576","1.3596","1.3519","","-0.31%"
"08/13/2025","1.3575","1.3500","1.3586","1.3491","","0.56%"
"08/12/2025","1.3500","1.3432","1.3525","1.3419","","0.51%"
"08/11/2025","1.3431","1.3436","1.3479","1.3398","","-0.15%"
"08/08/2025","1.3451","1.3443","1.3460","1.3417","","0.06%"
"08/07/2025","1.3443","1.3354","1.3450","1.3344","","0.64%"
"08/06/2025","1.3357","1.3301","1.3370","1.3280","","0.42%"
"08/05/2025","1.3301","1.3291","1.3318","1.3258","","0.12%"
"08/04/2025","1.3285","1.3280","1.3332","1.3252","","0.04%"
"08/01/2025","1.3280","1.3207","1.3312","1.3140","","0.55%"
