"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","147.19","147.13","147.38","146.79","","0.05%"
"08/31/2025","147.12","147.09","147.19","146.99","","0.05%"
"08/29/2025","147.05","146.93","147.42","146.75","","0.08%"
"08/28/2025","146.93","147.42","147.51","146.65","","-0.33%"
"08/27/2025","147.41","147.42","148.20","147.29","","0.00%"
"08/26/2025","147.41","147.79","147.92","146.99","","-0.26%"
"08/25/2025","147.79","146.93","147.95","146.75","","0.35%"
"08/24/2025","147.27","146.94","147.30","146.80","","0.22%"
"08/22/2025","146.95","148.33","148.79","146.57","","-0.96%"
"08/21/2025","148.38","147.33","148.42","147.25","","0.71%"
"08/20/2025","147.33","147.66","147.82","146.87","","-0.24%"
"08/19/2025","147.68","147.80","148.12","147.44","","-0.14%"
"08/18/2025","147.88","147.15","148.00","147.04","","0.46%"
"08/15/2025","147.20","147.76","147.90","146.74","","-0.38%"
"08/14/2025","147.76","147.38","147.97","146.20","","0.25%"
"08/13/2025","147.39","147.77","148.18","147.08","","-0.30%"
"08/12/2025","147.84","148.15","148.54","147.57","","-0.20%"
"08/11/2025","148.14","147.61","148.26","147.35","","0.28%"
"08/08/2025","147.73","147.15","147.91","146.72","","0.41%"
"08/07/2025","147.13","147.36","147.73","146.68","","-0.16%"
"08/06/2025","147.37","147.57","147.90","146.96","","-0.16%"
"08/05/2025","147.61","147.17","147.85","146.62","","0.35%"
"08/04/2025","147.09","147.35","148.10","146.86","","-0.20%"
"08/01/2025","147.38","150.76","150.93","147.29","","-2.24%"
